日期,新增确诊,确诊总数,治愈数,死亡数
03.18,1,1,0,0
03.19,0,1,0,0
03.20,0,1,0,0
03.21,0,1,0,0
03.22,0,1,0,0
03.23,0,1,0,0
03.24,2,3,0,0
03.25,8,11,0,0
03.26,0,11,0,0
03.27,1,12,0,0
03.28,3,14,0,0
03.29,0,14,0,0
03.30,11,25,0,0
03.31,-7,18,0,0
04.01,12,30,0,0
04.02,10,40,0,0
04.03,9,49,8,0
04.04,1,50,8,0
04.05,9,59,9,0
04.06,0,59,9,0
04.07,31,90,9,0
04.08,45,135,25,0
04.09,0,135,25,0
04.10,15,150,36,1
04.11,37,187,36,2
04.12,27,214,36,2
04.13,0,214,36,2
04.14,149,363,53,2
04.15,0,363,53,2
04.16,72,435,71,2
04.17,297,732,76,2
04.18,0,732,76,2
04.19,0,732,76,2
04.20,114,846,102,2
04.21,0,846,102,2
04.22,128,974,183,2
04.23,12,986,252,2
04.24,13,999,330,2
04.25,9,1008,373,2
04.26,15,1023,411,2
04.27,0,1023,411,2
04.28,12,1035,477,2
04.29,42,1077,599,2
04.30,12,1089,642,2
05.01,0,1089,642,2
05.02,23,1112,686,2
05.03,0,1112,686,2
05.04,4,1116,713,2
05.05,0,1116,713,2
05.06,4,1120,745,2
05.07,4,1124,755,3
05.08,9,1133,799,3
05.09,2,1135,824,3
05.10,54,1189,834,3
05.11,21,1210,847,3
05.12,17,1227,872,3
05.13,29,1256,886,3
05.14,12,1268,900,3
05.15,16,1284,905,3
05.16,25,1309,935,4
05.17,22,1331,950,4
05.18,70,1401,972,4
05.19,117,1518,1033,7
05.20,100,1618,1033,7
05.21,210,1828,1052,9
05.22,219,2047,1055,10
05.23,223,2270,1064,10
05.24,0,2270,1064,10
05.25,198,2468,1079,14
05.26,0,2468,1079,14
05.27,229,2697,1185,18
05.28,217,2914,1241,20
05.29,0,2914,1241,20
05.30,280,3194,1286,22
05.31,160,3354,1504,24
06.01,215,3569,1521,24
06.02,210,3779,1607,25
06.03,0,3779,1607,25
06.04,275,4054,1685,26
06.05,0,4054,1685,26
06.06,115,4169,1815,26
06.07,38,4207,1877,28
06.08,71,4278,2013,31
06.09,0,4278,2013,31
06.10,53,4331,2139,34
06.11,67,4398,2519,37
06.12,43,4441,2730,38
06.13,8,4449,2823,41
06.14,16,4465,2950,43
06.15,0,4465,2950,43
06.16,36,4501,3183,43
06.17,38,4539,3324,43
06.18,0,4539,3324,43
