日期,新增确诊,确诊总数,治愈数,死亡数
03.12,2,2,0,0
03.13,0,2,0,0
03.14,0,2,0,0
03.15,0,2,0,0
03.16,9,11,0,0
03.17,0,11,0,0
03.18,0,11,0,0
03.19,0,11,0,0
03.20,0,11,0,0
03.21,0,19,0,0
03.22,5,24,0,0
03.23,3,27,0,0
03.24,1,28,0,0
03.25,4,32,0,0
03.26,20,39,0,0
03.27,22,61,0,0
03.28,13,74,0,0
03.29,7,81,0,0
03.30,15,96,0,4
03.31,11,107,0,6
04.01,8,115,1,7
04.02,8,123,1,7
04.03,9,132,1,9
04.04,7,139,1,10
04.05,18,157,2,10
04.06,26,183,2,11
04.07,11,194,2,14
04.08,16,210,2,15
04.09,54,264,2,18
04.10,4,268,2,19
04.11,7,275,2,20
04.12,25,300,2,24
04.13,30,330,2,27
04.14,24,354,6,28
04.15,43,397,7,28
04.16,44,441,14,29
04.17,24,465,26,31
04.18,28,493,31,31
04.19,27,520,31,32
04.20,44,564,31,33
04.21,34,598,37,34
04.22,11,609,44,37
04.23,63,672,44,40
04.24,31,703,44,43
04.25,104,807,54,44
04.26,59,866,54,46
04.27,84,950,80,50
04.28,64,1014,98,53
04.29,39,1053,110,55
04.30,57,1110,117,59
05.01,57,1167,132,62
05.02,62,1229,134,66
05.03,0,1229,134,66
05.04,365,1594,166,76
05.05,87,1681,174,82
05.06,121,1802,187,86
05.07,84,1886,198,91
05.08,195,2081,219,102
05.09,185,2266,237,106
05.10,171,2437,258,114
05.11,119,2556,273,118
05.12,275,2831,299,122
05.13,133,2964,313,128
05.14,184,3148,339,142
05.15,224,3372,356,152
05.16,205,3577,434,164
05.17,249,3826,473,165
05.18,262,4088,493,169
05.19,175,4263,503,174
05.20,218,4481,533,189
05.21,438,4919,553,199
05.22,268,5187,561,215
05.23,392,5579,575,230
05.24,336,5915,609,240
05.25,348,6263,629,250
05.26,397,6660,647,261
05.27,476,7136,677,274
05.28,632,7768,689,280
05.29,619,8387,738,293
05.30,344,8731,749,300
05.31,861,9592,889,310
06.01,390,9982,968,313
06.02,549,10531,1137,343
06.03,0,10531,1137,343
06.04,1107,11638,1507,400
06.05,607,12245,1658,415
06.06,483,12728,1739,427
06.07,630,13358,1902,454
06.08,285,13643,2086,465
06.09,306,13949,2159,475
06.10,695,14644,2190,487
06.11,637,15281,2261,512
06.12,884,16165,2372,533
06.13,764,16929,2431,559
06.14,913,17842,2768,585
06.15,617,18459,3113,611
06.16,614,19073,3430,632
06.17,810,19883,3752,659
06.18,0,19883,3752,659
