Username,Last Name,First Name,Question ID,Possible Points,Auto Score,Manual Score
mbasnji9,Isita,Charlie,Question ID 1,1,1,
mbasnji9,Isita,Charlie,Question ID 2,1,0,
mbasnji9,Isita,Charlie,Question ID 3,1,0,
mbasnji9,Isita,Charlie,Question ID 4,1,0,
mbasnji9,Isita,Charlie,Question ID 6,5,,1.5
mbasafw4,Scarsella,Quiana,Question ID 1,1,0,
mbasafw4,Scarsella,Quiana,Question ID 2,1,1,
mbasafw4,Scarsella,Quiana,Question ID 3,1,1,
mbasnji9,Isita,Charlie,Question ID 5,1,1,
mbasafw4,Scarsella,Quiana,Question ID 4,1,0,
mbasafw4,Scarsella,Quiana,Question ID 5,1,1,
mbasafw4,Scarsella,Quiana,Question ID 6,5,,2
mbastxd8,Rodrigues,Nakita,Question ID 1,1,0,
mbastxd8,Rodrigues,Nakita,Question ID 2,1,1,
mbastxd8,Rodrigues,Nakita,Question ID 3,1,0,
mbastxd8,Rodrigues,Nakita,Question ID 4,1,1,
mbastxd8,Rodrigues,Nakita,Question ID 5,1,0,
mbastxd8,Rodrigues,Nakita,Question ID 6,5,,4.5
mbasfep1,Kincannon,Louvenia,Question ID 1,1,1,
mbasfep1,Kincannon,Louvenia,Question ID 2,1,1,
mbasfep1,Kincannon,Louvenia,Question ID 3,1,0,
mbasfep1,Kincannon,Louvenia,Question ID 4,1,0,
mbasfep1,Kincannon,Louvenia,Question ID 5,1,0,
mbasfep1,Kincannon,Louvenia,Question ID 6,5,,3
mbasagi8,Ritthaler,Emogene,Question ID 1,1,1,
mbasagi8,Ritthaler,Emogene,Question ID 2,1,1,
mbasagi8,Ritthaler,Emogene,Question ID 3,1,1,
mbasagi8,Ritthaler,Emogene,Question ID 4,1,1,
mbasagi8,Ritthaler,Emogene,Question ID 5,1,1,
mbasagi8,Ritthaler,Emogene,Question ID 6,5,,3.5
mbasrrd1,Nahmias,Tula,Question ID 1,1,1,
mbasrrd1,Nahmias,Tula,Question ID 2,1,1,
mbasrrd1,Nahmias,Tula,Question ID 3,1,0,
mbasrrd1,Nahmias,Tula,Question ID 4,1,1,
mbasrrd1,Nahmias,Tula,Question ID 5,1,1,
mbasrrd1,Nahmias,Tula,Question ID 6,5,,3
mbasspj1,Westad,Mozell,Question ID 1,1,1,
mbasspj1,Westad,Mozell,Question ID 2,1,1,
mbasspj1,Westad,Mozell,Question ID 3,1,1,
mbasspj1,Westad,Mozell,Question ID 4,1,1,
mbasspj1,Westad,Mozell,Question ID 5,1,0,
mbasspj1,Westad,Mozell,Question ID 6,5,,3
mbasfoq6,Colamarino,Melda,Question ID 1,1,1,
mbasfoq6,Colamarino,Melda,Question ID 2,1,1,
mbasfoq6,Colamarino,Melda,Question ID 3,1,1,
mbasfoq6,Colamarino,Melda,Question ID 4,1,1,
mbasfoq6,Colamarino,Melda,Question ID 5,1,1,
mbasfoq6,Colamarino,Melda,Question ID 6,5,,2.5
mbasifh1,Rufenacht,Rebbecca,Question ID 1,1,1,
mbasifh1,Rufenacht,Rebbecca,Question ID 2,1,1,
mbasifh1,Rufenacht,Rebbecca,Question ID 3,1,0,
mbasifh1,Rufenacht,Rebbecca,Question ID 4,1,1,
mbasifh1,Rufenacht,Rebbecca,Question ID 5,1,1,
mbasifh1,Rufenacht,Rebbecca,Question ID 6,5,,4
mbasysz7,Bunselmeyer,Annett,Question ID 1,1,1,
mbasysz7,Bunselmeyer,Annett,Question ID 2,1,0,
mbasysz7,Bunselmeyer,Annett,Question ID 3,1,1,
mbasysz7,Bunselmeyer,Annett,Question ID 4,1,1,
mbasysz7,Bunselmeyer,Annett,Question ID 5,1,1,
mbasysz7,Bunselmeyer,Annett,Question ID 6,5,,2.5
mbashbs7,Yaklin,Nina,Question ID 1,1,1,
mbashbs7,Yaklin,Nina,Question ID 2,1,1,
mbashbs7,Yaklin,Nina,Question ID 3,1,1,
mbashbs7,Yaklin,Nina,Question ID 4,1,0,
mbashbs7,Yaklin,Nina,Question ID 5,1,0,
mbashbs7,Yaklin,Nina,Question ID 6,5,,2.5
mbasnug4,Arey,Nada,Question ID 1,1,1,
mbasnug4,Arey,Nada,Question ID 2,1,1,
mbasnug4,Arey,Nada,Question ID 3,1,1,
mbasnug4,Arey,Nada,Question ID 4,1,0,
mbasnug4,Arey,Nada,Question ID 5,1,1,
mbasnug4,Arey,Nada,Question ID 6,5,,3.5
mbasogw4,Ferenz,Stefany,Question ID 1,1,1,
mbasogw4,Ferenz,Stefany,Question ID 2,1,1,
mbasogw4,Ferenz,Stefany,Question ID 3,1,1,
mbasogw4,Ferenz,Stefany,Question ID 4,1,1,
mbasogw4,Ferenz,Stefany,Question ID 5,1,1,
mbasogw4,Ferenz,Stefany,Question ID 6,5,,4.5
mbasjba8,Arlinghaus,Remedios,Question ID 1,1,0,
mbasjba8,Arlinghaus,Remedios,Question ID 2,1,0,
mbasjba8,Arlinghaus,Remedios,Question ID 3,1,1,
mbasjba8,Arlinghaus,Remedios,Question ID 4,1,1,
mbasjba8,Arlinghaus,Remedios,Question ID 5,1,1,
mbasjba8,Arlinghaus,Remedios,Question ID 6,5,,4
mbaspeb0,Thurm,Brittani,Question ID 1,1,1,
mbaspeb0,Thurm,Brittani,Question ID 2,1,1,
mbaspeb0,Thurm,Brittani,Question ID 3,1,1,
mbaspeb0,Thurm,Brittani,Question ID 4,1,1,
mbaspeb0,Thurm,Brittani,Question ID 5,1,1,
mbaspeb0,Thurm,Brittani,Question ID 6,5,,3
mbastve9,Sutulovich,Lino,Question ID 1,1,0,
mbastve9,Sutulovich,Lino,Question ID 2,1,1,
mbastve9,Sutulovich,Lino,Question ID 3,1,1,
mbastve9,Sutulovich,Lino,Question ID 4,1,1,
